Forecast_Number,Start_Time,End_Time,Temperature,Temperature_Unit,Precipitation_Probability,Wind_Speed,Wind_Direction,Short_Forecast,Latitude,Longitude
64,2026-09-26T08:00:00-05:00,2026-09-26T09:00:00-05:00,61,F,0,0 mph,,Mostly Sunny,36.1627,-86.7816
65,2026-09-26T09:00:00-05:00,2026-09-26T10:00:00-05:00,65,F,0,0 mph,,Mostly Sunny,36.1627,-86.7816
66,2026-09-26T10:00:00-05:00,2026-09-26T11:00:00-05:00,69,F,0,0 mph,,Mostly Sunny,36.1627,-86.7816
67,2026-09-26T11:00:00-05:00,2026-09-26T12:00:00-05:00,72,F,0,0 mph,,Mostly Sunny,36.1627,-86.7816
68,2026-09-26T12:00:00-05:00,2026-09-26T13:00:00-05:00,75,F,0,5 mph,NE,Mostly Sunny,36.1627,-86.7816
69,2026-09-26T13:00:00-05:00,2026-09-26T14:00:00-05:00,78,F,1,5 mph,NNE,Partly Sunny,36.1627,-86.7816
70,2026-09-26T14:00:00-05:00,2026-09-26T15:00:00-05:00,79,F,1,5 mph,NNE,Partly Sunny,36.1627,-86.7816
71,2026-09-26T15:00:00-05:00,2026-09-26T16:00:00-05:00,80,F,1,5 mph,NNE,Partly Sunny,36.1627,-86.7816
72,2026-09-26T16:00:00-05:00,2026-09-26T17:00:00-05:00,81,F,1,5 mph,NNE,Partly Sunny,36.1627,-86.7816
73,2026-09-26T17:00:00-05:00,2026-09-26T18:00:00-05:00,79,F,1,5 mph,NNE,Partly Sunny,36.1627,-86.7816
74,2026-09-26T18:00:00-05:00,2026-09-26T19:00:00-05:00,77,F,1,5 mph,NNE,Mostly Cloudy,36.1627,-86.7816
75,2026-09-26T19:00:00-05:00,2026-09-26T20:00:00-05:00,76,F,2,5 mph,NNE,Mostly Cloudy,36.1627,-86.7816
76,2026-09-26T20:00:00-05:00,2026-09-26T21:00:00-05:00,73,F,2,5 mph,NNE,Mostly Cloudy,36.1627,-86.7816
77,2026-09-26T21:00:00-05:00,2026-09-26T22:00:00-05:00,69,F,2,5 mph,NE,Mostly Cloudy,36.1627,-86.7816
78,2026-09-26T22:00:00-05:00,2026-09-26T23:00:00-05:00,67,F,2,5 mph,NE,Mostly Cloudy,36.1627,-86.7816
79,2026-09-26T23:00:00-05:00,2026-09-27T00:00:00-05:00,66,F,2,5 mph,NE,Mostly Cloudy,36.1627,-86.7816
80,2026-09-27T00:00:00-05:00,2026-09-27T01:00:00-05:00,65,F,2,0 mph,,Mostly Cloudy,36.1627,-86.7816
81,2026-09-27T01:00:00-05:00,2026-09-27T02:00:00-05:00,64,F,7,0 mph,,Mostly Cloudy,36.1627,-86.7816
82,2026-09-27T02:00:00-05:00,2026-09-27T03:00:00-05:00,63,F,7,0 mph,,Mostly Cloudy,36.1627,-86.7816
83,2026-09-27T03:00:00-05:00,2026-09-27T04:00:00-05:00,62,F,7,0 mph,,Mostly Cloudy,36.1627,-86.7816
84,2026-09-27T04:00:00-05:00,2026-09-27T05:00:00-05:00,61,F,7,0 mph,,Mostly Cloudy,36.1627,-86.7816
85,2026-09-27T05:00:00-05:00,2026-09-27T06:00:00-05:00,60,F,7,0 mph,,Mostly Cloudy,36.1627,-86.7816
86,2026-09-27T06:00:00-05:00,2026-09-27T07:00:00-05:00,59,F,7,0 mph,,Partly Sunny,36.1627,-86.7816
87,2026-09-27T07:00:00-05:00,2026-09-27T08:00:00-05:00,59,F,3,0 mph,,Partly Sunny,36.1627,-86.7816
88,2026-09-27T08:00:00-05:00,2026-09-27T09:00:00-05:00,62,F,3,0 mph,,Partly Sunny,36.1627,-86.7816
89,2026-09-27T09:00:00-05:00,2026-09-27T10:00:00-05:00,66,F,3,0 mph,,Partly Sunny,36.1627,-86.7816
90,2026-09-27T10:00:00-05:00,2026-09-27T11:00:00-05:00,70,F,3,0 mph,,Partly Sunny,36.1627,-86.7816
91,2026-09-27T11:00:00-05:00,2026-09-27T12:00:00-05:00,74,F,3,0 mph,,Partly Sunny,36.1627,-86.7816
92,2026-09-27T12:00:00-05:00,2026-09-27T13:00:00-05:00,77,F,3,5 mph,NE,Partly Sunny,36.1627,-86.7816
93,2026-09-27T13:00:00-05:00,2026-09-27T14:00:00-05:00,80,F,6,5 mph,NE,Mostly Sunny,36.1627,-86.7816
94,2026-09-27T14:00:00-05:00,2026-09-27T15:00:00-05:00,82,F,6,5 mph,NNE,Mostly Sunny,36.1627,-86.7816
95,2026-09-27T15:00:00-05:00,2026-09-27T16:00:00-05:00,82,F,6,5 mph,NNE,Mostly Sunny,36.1627,-86.7816
96,2026-09-27T16:00:00-05:00,2026-09-27T17:00:00-05:00,82,F,6,5 mph,NNE,Mostly Sunny,36.1627,-86.7816
97,2026-09-27T17:00:00-05:00,2026-09-27T18:00:00-05:00,80,F,6,5 mph,NNE,Mostly Sunny,36.1627,-86.7816
98,2026-09-27T18:00:00-05:00,2026-09-27T19:00:00-05:00,78,F,6,5 mph,NE,Partly Cloudy,36.1627,-86.7816
99,2026-09-27T19:00:00-05:00,2026-09-27T20:00:00-05:00,75,F,8,5 mph,NE,Partly Cloudy,36.1627,-86.7816
100,2026-09-27T20:00:00-05:00,2026-09-27T21:00:00-05:00,72,F,8,5 mph,NE,Partly Cloudy,36.1627,-86.7816
101,2026-09-27T21:00:00-05:00,2026-09-27T22:00:00-05:00,69,F,8,5 mph,NE,Partly Cloudy,36.1627,-86.7816
102,2026-09-27T22:00:00-05:00,2026-09-27T23:00:00-05:00,66,F,8,5 mph,NE,Partly Cloudy,36.1627,-86.7816
103,2026-09-27T23:00:00-05:00,2026-09-28T00:00:00-05:00,65,F,8,5 mph,ENE,Partly Cloudy,36.1627,-86.7816
104,2026-09-28T00:00:00-05:00,2026-09-28T01:00:00-05:00,64,F,8,0 mph,,Partly Cloudy,36.1627,-86.7816
105,2026-09-28T01:00:00-05:00,2026-09-28T02:00:00-05:00,63,F,6,0 mph,,Partly Cloudy,36.1627,-86.7816
106,2026-09-28T02:00:00-05:00,2026-09-28T03:00:00-05:00,62,F,6,0 mph,,Partly Cloudy,36.1627,-86.7816
107,2026-09-28T03:00:00-05:00,2026-09-28T04:00:00-05:00,61,F,6,0 mph,,Partly Cloudy,36.1627,-86.7816
108,2026-09-28T04:00:00-05:00,2026-09-28T05:00:00-05:00,60,F,6,0 mph,,Partly Cloudy,36.1627,-86.7816
109,2026-09-28T05:00:00-05:00,2026-09-28T06:00:00-05:00,58,F,6,0 mph,,Partly Cloudy,36.1627,-86.7816
